xco2
409.53
409.42
408.21
410.09
409.48
408.2
409.05
408.28
409.18
407.99
410.23
409.81
409.52
410.2
409.21
410.07
408.89
408.47
409.85
409.91
410.38
408.35
410.14
409.33
409.3
408.04
409.66
408.07
411.68
409.16
408.76
411.48
408.13
409.7
408.52
408.88
408.08
408.71
409.65
409.94
408.56
409.99
407.97
409.69
409.44
409.33
409.64
409.95
409.59
406.86
409.58
408.77
410.45
409.54
409.58
409.83
410.34
409.24
410.17
408.87
409.53
407.69
412.03
411.39
410.61
408.89
409.85
409.43
409.66
409.29
409.72
407.94
409.97
408.51
409.03
411.26
408.29
409.15
411.24
407.61
413.18
408.61
411.55
410.61
409.81
410.31
408.18
407.54
410.06
409.36
413.12
410.44
408.91
408.82
409.38
408.83
410.87
408.95
409.99
411.67
410.75
409.51
408.86
411.37
409.49
408.09
408.96
411.35
409.91
411.97
410.31
408.43
406.7
406.28
408.16
410.17
408.06
406.39
411.03
407.06
410.89
412.2
411.2
407.23
410.85
409.16
408.71
408.82
411.34
411.42
409.92
408.91
411.11
409.93
409.57
410.09
407.98
412.65
408.57
408.05
408.01
410.19
413.22
411.64
407.83
407.74
411.35
408.95
412.08
411.77
409.6
409.88
411.48
410.51
411.07
411.35
406.19
407.54
411.07
410.95
410.54
408.04
409.91
410.69
410.04
409.37
411.33
409.4
410.58
410.54
409.8
411.29
409.11
409.46
411.95
412.07
410.14
410.38
407.53
409.06
408.08
409.2
409.91
408.84
408.25
409.51
408.73
409.45
409.47
408.53
413.59
411.37
410.97
408.05
412.22
411.09
409.71
409.89
409.12
409.42
411.16
409.45
409.35
408.61
412.34
408.76
408.02
406.19
410.07
410.13
413.68
407.99
411.06
407.31
410.52
410.38
409.49
409.86
408.72
406.96
409.29
410
410.92
411.2
406.35
408.79
409.3
408.65
409.08
408.9
408.26
408.75
408.38
408.91
408.48
408.88
408.62
408.34
409.11
408.77
408.61
408.81
408.87
408.81
408.56
409.23
408.71
408.8
408.55
408.73
408.47
408.82
408.29
408.66
408.57
408.82
408.56
408.61
408.55
408.71
408.73
408.27
409.27
408.95
408.68
408.78
408.71
409.02
408.44
408.53
409.01
408.45
408.87
408.75
409
409.01
409.6
408.53
