year,day,hour,xco2
2018,159,16.835,406.53
2018,159,17.002,406.53
2018,159,17.07,406.53
2018,159,17.556,406.53
2018,159,18.204,406.53
2018,159,18.519,406.53
2018,159,18.604,406.53
2018,159,18.689,406.53
2018,159,18.691,406.53
2018,159,18.979,406.53
2018,159,19.351,406.53
2018,159,20.309,406.53
2018,159,20.436,406.53
2018,159,20.507,406.53
2018,159,20.528,406.53
2018,159,20.706,406.53
2018,159,20.893,406.53
2018,159,20.899,406.53
2018,159,20.955,406.53
2018,159,20.96,406.53
2018,159,21.097,406.53
2018,159,21.188,406.53
2018,159,21.231,406.53
2018,159,16.545,406.54
2018,159,17.267,406.54
2018,159,17.348,406.54
2018,159,17.647,406.54
2018,159,17.701,406.54
2018,159,20.632,406.54
2018,159,20.847,406.54
2018,159,20.94,406.54
2018,159,21.084,406.54
2018,159,17.078,406.55
2018,159,17.561,406.55
2018,159,17.683,406.55
2018,159,18.221,406.55
2018,159,18.413,406.55
2018,159,18.752,406.55
2018,159,20.025,406.55
2018,159,20.206,406.55
2018,159,20.521,406.55
2018,159,20.648,406.55
2018,159,21.038,406.55
2018,159,21.149,406.55
2018,159,16.384,406.56
2018,159,16.491,406.56
2018,159,16.611,406.56
2018,159,17.063,406.56
2018,159,17.763,406.56
2018,159,18.135,406.56
2018,159,18.558,406.56
2018,159,19.969,406.56
2018,159,20.132,406.56
2018,159,20.263,406.56
2018,159,20.312,406.56
2018,159,20.451,406.56
2018,159,20.684,406.56
2018,159,20.848,406.56
2018,159,20.894,406.56
2018,159,20.909,406.56
2018,159,20.985,406.56
2018,159,21.052,406.56
2018,159,21.154,406.56
2018,159,21.241,406.56
2018,159,17.141,406.57
2018,159,17.475,406.57
2018,159,19.873,406.57
2018,159,20.182,406.57
2018,159,20.238,406.57
2018,159,20.349,406.57
2018,159,20.383,406.57
2018,159,17.024,406.58
2018,159,17.296,406.58
2018,159,17.817,406.58
2018,159,18.71,406.58
2018,159,19.01,406.58
2018,159,19.59,406.58
2018,159,19.905,406.58
2018,159,20.228,406.58
2018,159,20.409,406.58
2018,159,20.593,406.58
2018,159,20.724,406.58
2018,159,20.823,406.58
2018,159,20.888,406.58
2018,159,21.021,406.58
2018,159,21.251,406.58
2018,159,16.341,406.59
2018,159,16.582,406.59
2018,159,16.687,406.59
2018,159,17.171,406.59
2018,159,17.202,406.59
2018,159,17.61,406.59
2018,159,17.991,406.59
2018,159,18.477,406.59
2018,159,19.466,406.59
2018,159,20.307,406.59
2018,159,20.665,406.59
2018,159,20.689,406.59
2018,159,21.128,406.59
2018,159,21.165,406.59
2018,159,16.51,406.6
2018,159,16.622,406.6
2018,159,16.98,406.6
2018,159,17.053,406.6
2018,159,17.129,406.6
2018,159,17.395,406.6
2018,159,17.59,406.6
2018,159,18.651,406.6
2018,159,18.742,406.6
2018,159,19.981,406.6
2018,159,19.985,406.6
2018,159,20.289,406.6
2018,159,20.36,406.6
2018,159,20.78,406.6
2018,159,20.999,406.6
2018,159,21.062,406.6
2018,159,16.459,406.61
2018,159,16.752,406.61
2018,159,16.919,406.61
2018,159,16.945,406.61
2018,159,17.222,406.61
2018,159,17.509,406.61
2018,159,17.686,406.61
2018,159,19.415,406.61
2018,159,19.68,406.61
2018,159,19.934,406.61
2018,159,20.115,406.61
2018,159,20.231,406.61
2018,159,20.41,406.61
2018,159,20.441,406.61
2018,159,20.561,406.61
2018,159,20.93,406.61
2018,159,16.461,406.62
2018,159,16.754,406.62
2018,159,18.047,406.62
2018,159,18.634,406.62
2018,159,19.081,406.62
2018,159,20.177,406.62
2018,159,20.745,406.62
2018,159,20.79,406.62
2018,159,20.882,406.62
2018,159,21.057,406.62
2018,159,16.445,406.63
2018,159,16.49,406.63
2018,159,16.941,406.63
2018,159,17.484,406.63
2018,159,17.536,406.63
2018,159,17.853,406.63
2018,159,17.859,406.63
2018,159,18.014,406.63
2018,159,19.473,406.63
2018,159,20.485,406.63
2018,159,20.501,406.63
2018,159,20.512,406.63
2018,159,20.872,406.63
2018,159,20.948,406.63
2018,159,21.013,406.63
2018,159,21.033,406.63
2018,159,21.118,406.63
2018,159,16.567,406.64
2018,159,16.621,406.64
2018,159,16.658,406.64
2018,159,16.905,406.64
2018,159,17.116,406.64
2018,159,17.637,406.64
2018,159,18.249,406.64
2018,159,18.792,406.64
2018,159,18.826,406.64
2018,159,19.047,406.64
2018,159,19.117,406.64
2018,159,19.634,406.64
2018,159,19.671,406.64
2018,159,20.247,406.64
2018,159,20.279,406.64
2018,159,20.563,406.64
2018,159,16.444,406.65
2018,159,16.474,406.65
2018,159,16.587,406.65
2018,159,16.995,406.65
2018,159,17.464,406.65
2018,159,17.893,406.65
2018,159,17.959,406.65
2018,159,18.057,406.65
2018,159,18.165,406.65
2018,159,18.169,406.65
2018,159,18.503,406.65
2018,159,18.573,406.65
2018,159,18.736,406.65
2018,159,18.947,406.65
2018,159,19.898,406.65
2018,159,20.023,406.65
2018,159,20.196,406.65
2018,159,20.685,406.65
2018,159,20.943,406.65
2018,159,21.17,406.65
2018,159,16.476,406.66
2018,159,16.577,406.66
2018,159,16.904,406.66
2018,159,17.121,406.66
2018,159,17.217,406.66
2018,159,17.428,406.66
2018,159,17.506,406.66
2018,159,17.747,406.66
2018,159,17.879,406.66
2018,159,18.133,406.66
2018,159,18.14,406.66
2018,159,18.523,406.66
2018,159,18.787,406.66
2018,159,18.944,406.66
2018,159,20.171,406.66
2018,159,20.338,406.66
2018,159,20.454,406.66
2018,159,20.97,406.66
2018,159,16.663,406.67
2018,159,16.809,406.67
2018,159,17.656,406.67
2018,159,18.059,406.67
2018,159,18.332,406.67
2018,159,18.393,406.67
2018,159,18.514,406.67
2018,159,18.902,406.67
2018,159,19.677,406.67
2018,159,19.844,406.67
2018,159,19.995,406.67
2018,159,20.416,406.67
2018,159,20.719,406.67
2018,159,20.75,406.67
2018,159,20.828,406.67
2018,159,20.918,406.67
2018,159,20.928,406.67
2018,159,21.082,406.67
2018,159,21.129,406.67
2018,159,16.42,406.68
2018,159,16.697,406.68
2018,159,16.929,406.68
2018,159,17.094,406.68
2018,159,17.403,406.68
2018,159,17.459,406.68
2018,159,17.595,406.68
2018,159,17.651,406.68
2018,159,17.703,406.68
2018,159,17.782,406.68
2018,159,17.809,406.68
2018,159,18.148,406.68
2018,159,18.312,406.68
2018,159,18.886,406.68
2018,159,19.813,406.68
2018,159,20.533,406.68
2018,159,20.808,406.68
2018,159,21.153,406.68
2018,159,16.353,406.69
2018,159,16.374,406.69
2018,159,16.515,406.69
2018,159,17.134,406.69
2018,159,17.347,406.69
2018,159,17.433,406.69
2018,159,17.489,406.69
2018,159,17.511,406.69
2018,159,17.627,406.69
2018,159,17.762,406.69
2018,159,17.767,406.69
2018,159,17.768,406.69
2018,159,18.078,406.69
2018,159,18.083,406.69
2018,159,18.528,406.69
2018,159,19.203,406.69
2018,159,19.939,406.69
2018,159,20.051,406.69
2018,159,20.481,406.69
2018,159,20.867,406.69
2018,159,16.347,406.7
2018,159,16.358,406.7
2018,159,16.742,406.7
2018,159,16.895,406.7
2018,159,17.106,406.7
2018,159,17.181,406.7
2018,159,17.358,406.7
2018,159,17.479,406.7
2018,159,17.519,406.7
2018,159,17.743,406.7
2018,159,17.95,406.7
2018,159,18.533,406.7
2018,159,19.793,406.7
2018,159,20.081,406.7
2018,159,20.492,406.7
2018,159,20.925,406.7
2018,159,16.352,406.71
2018,159,16.425,406.71
2018,159,16.58,406.71
2018,159,16.626,406.71
2018,159,16.631,406.71
2018,159,17.372,406.71
2018,159,17.516,406.71
2018,159,17.581,406.71
2018,159,18.19,406.71
2018,159,18.27,406.71
2018,159,18.444,406.71
2018,159,18.513,406.71
2018,159,19.225,406.71
2018,159,19.695,406.71
2018,159,19.89,406.71
2018,159,19.91,406.71
2018,159,19.966,406.71
2018,159,20.122,406.71
2018,159,20.65,406.71
2018,159,20.787,406.71
2018,159,21.069,406.71
2018,159,21.229,406.71
2018,159,16.56,406.72
2018,159,16.873,406.72
2018,159,16.894,406.72
2018,159,17.043,406.72
2018,159,17.165,406.72
2018,159,17.291,406.72
2018,159,17.571,406.72
2018,159,17.592,406.72
2018,159,17.774,406.72
2018,159,18.598,406.72
2018,159,18.74,406.72
2018,159,19.451,406.72
2018,159,19.523,406.72
2018,159,19.609,406.72
2018,159,19.614,406.72
2018,159,19.986,406.72
2018,159,20.105,406.72
2018,159,20.125,406.72
2018,159,20.4,406.72
2018,159,20.543,406.72
2018,159,21.175,406.72
2018,159,21.195,406.72
2018,159,16.5,406.73
2018,159,16.562,406.73
2018,159,16.92,406.73
2018,159,17.22,406.73
2018,159,18.138,406.73
2018,159,18.209,406.73
2018,159,18.361,406.73
2018,159,18.705,406.73
2018,159,19.808,406.73
2018,159,19.843,406.73
2018,159,19.848,406.73
2018,159,20.287,406.73
2018,159,20.365,406.73
2018,159,20.476,406.73
2018,159,20.573,406.73
2018,159,20.736,406.73
2018,159,21.059,406.73
2018,159,21.148,406.73
2018,159,16.762,406.74
2018,159,16.819,406.74
2018,159,16.865,406.74
2018,159,16.875,406.74
2018,159,16.961,406.74
2018,159,17.033,406.74
2018,159,17.321,406.74
2018,159,17.333,406.74
2018,159,17.908,406.74
2018,159,18.63,406.74
2018,159,18.696,406.74
2018,159,18.843,406.74
2018,159,19.619,406.74
2018,159,19.803,406.74
2018,159,20.035,406.74
2018,159,20.039,406.74
2018,159,20.424,406.74
2018,159,20.803,406.74
2018,159,20.913,406.74
2018,159,21.261,406.74
2018,159,16.428,406.75
2018,159,16.734,406.75
2018,159,16.747,406.75
2018,159,16.878,406.75
2018,159,16.96,406.75
2018,159,17.575,406.75
2018,159,17.602,406.75
2018,159,17.64,406.75
2018,159,17.677,406.75
2018,159,17.738,406.75
2018,159,17.822,406.75
2018,159,18.001,406.75
2018,159,18.219,406.75
2018,159,18.539,406.75
2018,159,18.545,406.75
2018,159,18.676,406.75
2018,159,18.893,406.75
2018,159,19.311,406.75
2018,159,19.365,406.75
2018,159,19.595,406.75
2018,159,19.959,406.75
2018,159,20.176,406.75
2018,159,20.319,406.75
2018,159,20.399,406.75
2018,159,20.461,406.75
2018,159,21.018,406.75
2018,159,21.109,406.75
2018,159,16.357,406.76
2018,159,16.408,406.76
2018,159,16.415,406.76
2018,159,16.648,406.76
2018,159,16.668,406.76
2018,159,16.885,406.76
2018,159,17.119,406.76
2018,159,17.156,406.76
2018,159,17.272,406.76
2018,159,17.531,406.76
2018,159,17.708,406.76
2018,159,17.742,406.76
2018,159,18.019,406.76
2018,159,18.049,406.76
2018,159,18.18,406.76
2018,159,18.211,406.76
2018,159,18.226,406.76
2018,159,18.659,406.76
2018,159,18.735,406.76
2018,159,18.745,406.76
2018,159,19.122,406.76
2018,159,20.056,406.76
2018,159,20.192,406.76
2018,159,20.968,406.76
2018,159,21.037,406.76
2018,159,21.138,406.76
2018,159,16.789,406.77
2018,159,16.975,406.77
2018,159,17.038,406.77
2018,159,17.101,406.77
2018,159,17.56,406.77
2018,159,17.615,406.77
2018,159,17.736,406.77
2018,159,17.869,406.77
2018,159,17.986,406.77
2018,159,18.337,406.77
2018,159,18.368,406.77
2018,159,18.433,406.77
2018,159,18.726,406.77
2018,159,19.395,406.77
